N,Year,Month,"Average Daily Spend
Same-day Visitors (BHD)","Average Daily Spend
Overnight Visitors (BHD)","Average Daily Spend
Total Visitors (BHD)"
1,2017,January,64,70,68.08249063
2,2017,February,65.81498806,80.36847389,76.08974305
3,2017,March,69.87878245,84.72802485,79.94536146
4,2017,April,111.5578514,104.1966376,106.7612636
5,2017,May,105.8618353,95.50740938,100.7950386
6,2017,June,84.30388864,115.4079906,97.01618584
7,2017,July,66.05328872,100.4568627,90.33740334
8,2017,August,68.47727655,71.78171983,70.62494082
9,2017,September,66.54603351,88.10809168,81.41785388
10,2017,October,83.06196565,86.94103397,85.51428436
11,2017,November,82.0915724,87.25677582,85.33288615
12,2017,December,82.43662105,87.21555752,85.41886767
13,2018,January,76,87,84
14,2018,February,69,84,80
15,2018,March,76,92,87
16,2018,April,64,68,66
17,2018,May,64,68,66
18,2018,June,64,68,66
19,2018,July,59,76,69
20,2018,August,59,76,69
21,2018,September,59,76,69
22,2018,October,58,61,60
23,2018,November,58,61,60
24,2018,December,58,61,60
25,2019,January,69.36117052,84.63525158,79.66965784
26,2019,February,69.36117052,84.63525158,79.66965784
27,2019,March,69.36117052,84.63525158,79.66965784
28,2019,April,66.8281435,77.1033972,73.19953101
29,2019,May,66.8281435,77.1033972,73.19953101
30,2019,June,66.8281435,77.1033972,73.19953101
31,2019,July,56.586978,63.3742053,61.29469113
32,2019,August,56.586978,63.3742053,61.29469113
33,2019,September,56.586978,63.3742053,61.29469113
34,2019,October,68.53355549,68.85810906,68.72210203
35,2019,November,68.53355549,68.85810906,68.72210203
36,2019,December,68.53355549,68.85810906,68.72210203
37,2020,January,66.33990658,69.16059192,68.18477751
38,2020,February,66.33990658,69.16059192,68.18477751
39,2020,March,66.33990658,69.16059192,68.18477751
40,2020,April,0,61.47060451,61.47060451
41,2020,May,0,61.47060451,61.47060451
42,2020,June,0,61.47060451,61.47060451
43,2020,July,0,70.75445684,70.75445684
44,2020,August,0,70.75445684,70.75445684
45,2020,September,0,70.75445684,70.75445684
46,2020,October,0,65.36489301,65.36489301
47,2020,November,0,65.36489301,65.36489301
48,2020,December,0,65.36489301,65.36489301
49,2021,January,77.7770865,73.94167446,74.51816612
50,2021,February,77.7770865,73.94167446,74.51816612
51,2021,March,77.7770865,73.94167446,74.51816612
52,2021,April,77.7770865,73.94167446,74.51816612
53,2021,May,77.7770865,73.94167446,74.51816612
54,2021,June,77.7770865,73.94167446,74.51816612
55,2021,July,77.7770865,73.94167446,74.51816612
56,2021,August,77.7770865,73.94167446,74.51816612
57,2021,September,77.7770865,73.94167446,74.51816612
58,2021,October,77.7770865,73.94167446,74.51816612
59,2021,November,77.7770865,73.94167446,74.51816612
60,2021,December,77.7770865,73.94167446,74.51816612
61,2022,January,76.52791206,78.02803085,77.6707887
62,2022,February,76.52791206,78.02803085,77.6707887
63,2022,March,76.52791206,78.02803085,77.6707887
64,2022,April,71.80646008,69.21524745,70.3207672
65,2022,May,68.07698129,79.18295125,75.91194468
66,2022,June,66.89584219,80.801132,76.40515683
67,2022,July,65.70235152,81.870445,77.37066845
68,2022,August,65.80410248,81.44401452,76.83073767
69,2022,September,66.74922125,88.14589208,80.15576836
70,2022,October,63.97821589,80.25611109,73.98341105
71,2022,November,64,78,72
72,2022,December,63,82,75
73,2023,January,67.4,78,75
74,2023,February,67.4,78,75
75,2023,March,67.4,78,75
76,2023,April,67.6,78.3,75
77,2023,May,67.6,78.3,75
78,2023,June,67.6,78.3,75
79,2023,July,64.2,74.3,71.2
80,2023,August,64.2,74.3,71.2
81,2023,September,64.2,74.3,71.2
82,2023,October,68.7,79.5,74
83,2023,November,68.7,79.5,74
84,2023,December,68.7,79.5,74
